LAMMPS data generated from YCOR400.gro

31200 atoms
6 atom types

0.000000 75.29860000 xlo xhi
0.000000 75.29860000 ylo yhi
0.000000 75.29860000 zlo zhi

Masses

1 12.0110000000 # C
2 18.9984031630 # F
3 1.0080000000 # H
4 14.0070000000 # N
5 15.9990000000 # O
6 32.0600000000 # S

Atoms # atomic

421 1 35.17000000 2.75000000 18.95000000
422 4 34.45000000 1.67000000 19.42000000
423 1 34.15000000 1.48000000 20.84000000
424 3 34.83000000 2.07000000 21.45000000
425 3 33.10000000 1.53000000 21.15000000
426 3 34.40000000 0.45000000 21.07000000
427 1 34.45000000 0.69000000 18.37000000
428 1 33.84000000 74.50000000 18.21000000
429 1 34.24000000 73.76000000 17.16000000
430 1 33.46000000 72.54000000 17.13000000
431 1 32.63000000 72.54000000 18.26000000
432 4 32.79000000 73.76000000 18.96000000
433 1 32.15000000 74.22000000 20.20000000
434 3 31.91000000 75.28000000 20.12000000
435 3 31.25000000 73.70000000 20.54000000
436 3 32.88000000 74.15000000 21.01000000
437 1 31.90000000 71.30000000 18.32000000
438 1 32.36000000 70.41000000 17.44000000
439 6 33.44000000 71.04000000 16.19000000
440 1 31.76000000 69.04000000 17.51000000
441 1 30.73000000 69.12000000 18.33000000
442 6 30.58000000 70.64000000 19.24000000
443 3 29.90000000 68.42000000 18.42000000
444 1 32.23000000 67.77000000 16.75000000
445 3 33.02000000 67.93000000 16.02000000
446 3 32.61000000 66.98000000 17.41000000
447 3 31.40000000 67.25000000 16.29000000
448 1 35.27000000 74.27000000 16.13000000
449 1 35.64000000 0.31000000 16.08000000
450 1 35.19000000 1.24000000 17.30000000
451 1 35.48000000 2.62000000 17.65000000
452 6 36.00000000 4.17000000 16.92000000
453 4 36.48000000 0.79000000 15.09000000
454 1 36.97000000 75.20000000 14.31000000
455 1 36.70000000 73.86000000 14.38000000
456 4 35.83000000 73.36000000 15.22000000
457 1 37.76000000 73.18000000 13.54000000
458 1 38.40000000 74.09000000 12.75000000
459 1 38.05000000 0.10000000 13.21000000
460 5 38.48000000 1.14000000 12.80000000
461 1 39.15000000 73.69000000 11.67000000
462 3 39.59000000 74.43000000 11.00000000
